17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Wecker.mp3,Path: \Projekte\Wecker\Files\Wecker.mp3
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:ÿû,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date1,Path: \Projekte\Wecker\Files\Date\Date1
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:06,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date2,Path: \Projekte\Wecker\Files\Date\Date2
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:06,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date3,Path: \Projekte\Wecker\Files\Date\Date3
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:06,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date4,Path: \Projekte\Wecker\Files\Date\Date4
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:06,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date5,Path: \Projekte\Wecker\Files\Date\Date5
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:06,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date6,Path: \Projekte\Wecker\Files\Date\Date6
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:10,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: Date7,Path: \Projekte\Wecker\Files\Date\Date7
17.10.2016 @ 23:23:40: Die Datei existiert schon, enthält aber keinen Inhalt, deswegen wird die Datei überschrieben | Bytes:10,
17.10.2016 @ 23:23:40: Die Datei existiert bereits | File: main.cpp,Path: \Projekte\Wecker\Projekt\main.cpp
